Episode:  20 | Episode_reward:  43.0
Episode:  21 | Episode_reward:  15.0
Episode:  22 | Episode_reward:  15.25
Episode:  23 | Episode_reward:  62.75
Episode:  24 | Episode_reward:  27.25
Episode:  25 | Episode_reward:  29.5
Episode:  26 | Episode_reward:  53.25
Episode:  27 | Episode_reward:  -30.0
Episode:  28 | Episode_reward:  58.0
Episode:  29 | Episode_reward:  7.0
Episode:  30 | Episode_reward:  9.25
Episode:  31 | Episode_reward:  69.75
Episode:  32 | Episode_reward:  28.25
Episode:  33 | Episode_reward:  15.5
Episode:  34 | Episode_reward:  56.25
Episode:  35 | Episode_reward:  16.75
Episode:  36 | Episode_reward:  37.75
Episode:  37 | Episode_reward:  26.5
Episode:  38 | Episode_reward:  65.25
Episode:  39 | Episode_reward:  12.5
Episode:  40 | Episode_reward:  25.25
Episode:  41 | Episode_reward:  57.25
Episode:  42 | Episode_reward:  30.0
Episode:  43 | Episode_reward:  13.5
Episode:  44 | Episode_reward:  36.75
Episode:  45 | Episode_reward:  26.5
Episode:  46 | Episode_reward:  31.5
Episode:  47 | Episode_reward:  34.0
Episode:  48 | Episode_reward:  14.25
Episode:  49 | Episode_reward:  41.0
Model: 88000 / Mean Reward: 33.8 

Episode:  0 | Episode_reward:  44.0
Episode:  1 | Episode_reward:  18.5
Episode:  2 | Episode_reward:  66.0
Episode:  3 | Episode_reward:  19.0
Episode:  4 | Episode_reward:  10.75
Episode:  5 | Episode_reward:  43.75
Episode:  6 | Episode_reward:  77.75
Episode:  7 | Episode_reward:  79.25
Episode:  8 | Episode_reward:  69.25
Episode:  9 | Episode_reward:  21.0
Episode:  10 | Episode_reward:  13.0
Episode:  11 | Episode_reward:  65.75
Episode:  12 | Episode_reward:  42.25
Episode:  13 | Episode_reward:  43.0
Episode:  14 | Episode_reward:  21.5
Episode:  15 | Episode_reward:  24.25
Episode:  16 | Episode_reward:  31.5
Episode:  17 | Episode_reward:  43.25
Episode:  18 | Episode_reward:  27.0
Episode:  19 | Episode_reward:  32.0
Episode:  20 | Episode_reward:  0.75
Episode:  21 | Episode_reward:  18.75
Episode:  22 | Episode_reward:  60.25
Episode:  23 | Episode_reward:  44.0
Episode:  24 | Episode_reward:  42.5
Episode:  25 | Episode_reward:  2.0
Episode:  26 | Episode_reward:  62.0
Episode:  27 | Episode_reward:  25.0
Episode:  28 | Episode_reward:  28.25
Episode:  29 | Episode_reward:  49.0
Episode:  30 | Episode_reward:  69.5
Episode:  31 | Episode_reward:  39.5
Episode:  32 | Episode_reward:  62.25
Episode:  33 | Episode_reward:  52.25
Episode:  34 | Episode_reward:  72.75
Episode:  35 | Episode_reward:  4.5
Episode:  36 | Episode_reward:  46.25
Episode:  37 | Episode_reward:  70.0
Episode:  38 | Episode_reward:  9.75
Episode:  39 | Episode_reward:  50.0
Episode:  40 | Episode_reward:  16.5
Episode:  41 | Episode_reward:  55.25
Episode:  42 | Episode_reward:  29.25
Episode:  43 | Episode_reward:  40.25
Episode:  44 | Episode_reward:  39.25
Episode:  45 | Episode_reward:  4.0
Episode:  46 | Episode_reward:  42.25
Episode:  47 | Episode_reward:  12.5
Episode:  48 | Episode_reward:  38.0
Episode:  49 | Episode_reward:  31.5
Model: 288000 / Mean Reward: 38.2 

Episode:  0 | Episode_reward:  18.5
Episode:  1 | Episode_reward:  14.25
Episode:  2 | Episode_reward:  8.25
Episode:  3 | Episode_reward:  34.25
Episode:  4 | Episode_reward:  80.0
Episode:  5 | Episode_reward:  34.25
Episode:  6 | Episode_reward:  54.25
Episode:  7 | Episode_reward:  64.75
Episode:  8 | Episode_reward:  27.5
Episode:  9 | Episode_reward:  85.75
Episode:  10 | Episode_reward:  44.25
Episode:  11 | Episode_reward:  28.0
Episode:  12 | Episode_reward:  67.5
Episode:  13 | Episode_reward:  5.75
Episode:  14 | Episode_reward:  57.0
Episode:  15 | Episode_reward:  73.0
Episode:  16 | Episode_reward:  -2.5
Episode:  17 | Episode_reward:  19.75
Episode:  18 | Episode_reward:  40.5
Episode:  19 | Episode_reward:  43.5
Episode:  20 | Episode_reward:  8.0
Episode:  21 | Episode_reward:  18.0
Episode:  22 | Episode_reward:  35.25
Episode:  23 | Episode_reward:  74.0
Episode:  24 | Episode_reward:  46.5
Episode:  25 | Episode_reward:  37.75
Episode:  26 | Episode_reward:  -15.0
Episode:  27 | Episode_reward:  66.25
Episode:  28 | Episode_reward:  9.75
Episode:  29 | Episode_reward:  50.75
Episode:  30 | Episode_reward:  83.75
Episode:  31 | Episode_reward:  34.0
Episode:  32 | Episode_reward:  24.75
Episode:  33 | Episode_reward:  36.5
Episode:  34 | Episode_reward:  54.25
Episode:  35 | Episode_reward:  10.75
Episode:  36 | Episode_reward:  44.25
Episode:  37 | Episode_reward:  19.5
Episode:  38 | Episode_reward:  43.75
Episode:  39 | Episode_reward:  7.0
Episode:  40 | Episode_reward:  73.75
Episode:  41 | Episode_reward:  24.5
Episode:  42 | Episode_reward:  26.5
Episode:  43 | Episode_reward:  114.5
Episode:  44 | Episode_reward:  56.0
Episode:  45 | Episode_reward:  -39.25
Episode:  46 | Episode_reward:  46.5
Episode:  47 | Episode_reward:  8.0
Episode:  48 | Episode_reward:  44.75
Episode:  49 | Episode_reward:  27.5
Model: 331000 / Mean Reward: 37.4 

Episode:  0 | Episode_reward:  30.75
Episode:  1 | Episode_reward:  37.25
Episode:  2 | Episode_reward:  79.5
Episode:  3 | Episode_reward:  44.5
Episode:  4 | Episode_reward:  84.0
Episode:  5 | Episode_reward:  25.5
Episode:  6 | Episode_reward:  13.75
Episode:  7 | Episode_reward:  69.0
Episode:  8 | Episode_reward:  36.25
Episode:  9 | Episode_reward:  45.0
Episode:  10 | Episode_reward:  12.0
Episode:  11 | Episode_reward:  52.75
Episode:  12 | Episode_reward:  42.0
Episode:  13 | Episode_reward:  60.25
Episode:  14 | Episode_reward:  44.75
Episode:  15 | Episode_reward:  64.25
Episode:  16 | Episode_reward:  51.75
Episode:  17 | Episode_reward:  24.75
Episode:  18 | Episode_reward:  44.5
Episode:  19 | Episode_reward:  34.75
Episode:  20 | Episode_reward:  15.25
Episode:  21 | Episode_reward:  30.0
Episode:  22 | Episode_reward:  4.75
Episode:  23 | Episode_reward:  44.0
Episode:  24 | Episode_reward:  54.25
Episode:  25 | Episode_reward:  43.5
Episode:  26 | Episode_reward:  64.75
Episode:  27 | Episode_reward:  33.0
Episode:  28 | Episode_reward:  44.5
Episode:  29 | Episode_reward:  15.25
Episode:  30 | Episode_reward:  66.0
Episode:  31 | Episode_reward:  90.75
Episode:  32 | Episode_reward:  28.0
Episode:  33 | Episode_reward:  82.75
Episode:  34 | Episode_reward:  3.25
Episode:  35 | Episode_reward:  61.5
Episode:  36 | Episode_reward:  36.75
Episode:  37 | Episode_reward:  19.75
Episode:  38 | Episode_reward:  75.75
Episode:  39 | Episode_reward:  81.0
Episode:  40 | Episode_reward:  12.75
Episode:  41 | Episode_reward:  50.25
Episode:  42 | Episode_reward:  44.25
Episode:  43 | Episode_reward:  96.75
Episode:  44 | Episode_reward:  37.5
Episode:  45 | Episode_reward:  -19.0
Episode:  46 | Episode_reward:  57.25
Episode:  47 | Episode_reward:  14.0
Episode:  48 | Episode_reward:  16.5
Episode:  49 | Episode_reward:  9.0
Model: 1335000 / Mean Reward: 42.2 

Episode:  0 | Episode_reward:  60.5
Episode:  1 | Episode_reward:  34.25
Episode:  2 | Episode_reward:  55.75
Episode:  3 | Episode_reward:  74.0
Episode:  4 | Episode_reward:  10.0
Episode:  5 | Episode_reward:  34.75
Episode:  6 | Episode_reward:  0.0
Episode:  7 | Episode_reward:  47.0
Episode:  8 | Episode_reward:  15.75
Episode:  9 | Episode_reward:  62.0
Episode:  10 | Episode_reward:  72.25
Episode:  11 | Episode_reward:  2.5
Episode:  12 | Episode_reward:  74.5
Episode:  13 | Episode_reward:  22.75
Episode:  14 | Episode_reward:  6.25
Episode:  15 | Episode_reward:  45.0
Episode:  16 | Episode_reward:  0.25
Episode:  17 | Episode_reward:  95.5
Episode:  18 | Episode_reward:  14.5
Episode:  19 | Episode_reward:  79.5
Episode:  20 | Episode_reward:  61.0
Episode:  21 | Episode_reward:  31.75
Episode:  22 | Episode_reward:  55.0
Episode:  23 | Episode_reward:  42.0
Episode:  24 | Episode_reward:  134.0
Episode:  25 | Episode_reward:  5.5
Episode:  26 | Episode_reward:  73.25
Episode:  27 | Episode_reward:  20.5
Episode:  28 | Episode_reward:  17.0
Episode:  29 | Episode_reward:  45.5
